hqc,source_dir,run,metric,metric_label,us
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_121955_hqc128,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,577.819
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_121955_hqc128,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,588.771
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_121955_hqc128,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,574.73
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_121955_hqc128,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,605.643
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_121955_hqc128,run1,decode_one,decode-one,593.886
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_121955_hqc128,run1,bench,bench batched decode,39.185
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,open_close,open-close,52234.075
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,ping,ping,553.275
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_in_malloc,payload-in malloc,576.671
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_out_malloc,payload-out malloc,550.168
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_inout_malloc,payload-inout malloc,583.773
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,579.499
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,548.778
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,569.372
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,602.344
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,564.595
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,613.463
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,decode_one,decode-one,586.054
128,results/fastrpc_overhead_current_cloud2_chunks/20260530_122144_hqc128,run1,bench,bench batched decode,39.228
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,open_close,open-close,54355.364
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,ping,ping,554.287
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_in_malloc,payload-in malloc,587.505
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_out_malloc,payload-out malloc,550.086
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_inout_malloc,payload-inout malloc,597.927
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,597.303
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,554.375
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,597.689
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,614.793
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,574.171
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,609.23
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,decode_one,decode-one,611.016
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122335_hqc192,run1,bench,bench batched decode,56.077
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,open_close,open-close,54661.767
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,ping,ping,519.77
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_in_malloc,payload-in malloc,587.592
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_out_malloc,payload-out malloc,557.731
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_inout_malloc,payload-inout malloc,604.106
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,591.945
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,535.396
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,545.685
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,601.492
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,564.846
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,572.569
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,decode_one,decode-one,597.21
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_122737_hqc192,run1,bench,bench batched decode,56.899
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,open_close,open-close,53796.888
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,ping,ping,518.481
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_in_malloc,payload-in malloc,571.244
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_out_malloc,payload-out malloc,526.415
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_inout_malloc,payload-inout malloc,575.618
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,584.564
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,539.597
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,583.049
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,603.032
